matrix,n,nnz,source,sTiles,PARDISO,MUMPS,CHOLMOD,PaStiX,symPACK
inla_graph_83o4NNNo,25853,1531995,INLA,0.031346,0.008799,0.055489,0.119964,0.095707,0.023198
inla_graph_8rtKSK,7860,58070,INLA,0.002353,0.001031,0.006534,0.000851,0.077551,2.996380
inla_graph_animal1,5126,5283876,INLA,0.021188,0.177548,0.147849,0.110048,0.391130,0.613168
inla_graph_animal2,50126,502803876,INLA,16.139962,173.476326,38.795957,25.046116,72.080730,432.179000
inla_graph_ayaLRw,69224,267944,INLA,0.004516,0.006117,0.026051,0.014063,0.029206,0.228461
inla_graph_bern_spd,96344,4266568,INLA,0.017166,0.041811,0.124677,0.510643,0.305727,0.775435
inla_graph_diff,21529,378505,INLA,0.003663,0.005079,0.019682,0.047683,0.029245,0.034142
inla_graph_ferris,42961,1258427,INLA,0.020511,0.013540,0.041388,0.142611,0.115973,0.086810
inla_graph_lgm_10010_bw2,10010,644692,INLA,0.016884,0.012206,0.037055,0.043722,0.048004,0.022682
inla_graph_lgm_100200_bw1,100200,60009254,INLA,1.046830,2.303201,2.338609,2.222237,4.653521,1.851880
inla_graph_lgm_100200_bw2,100200,63953124,INLA,2.247365,7.274096,5.289243,3.537490,6.730831,8.336300
inla_graph_lgm_48600_bw2,48600,71278078,INLA,0.717674,8.839229,4.958803,2.361488,8.103949,9.451200
inla_graph_lgm_50000_bw15000,50000,14522320,INLA,1.388686,5.632538,2.674512,5.298726,2.810645,28.938600
inla_graph_lgm_50400_bw2,50400,47659344,INLA,12.136846,40.824401,35.690997,7.161067,14.944638,76.698100
inla_graph_lidense,12509,34573325,INLA,0.053977,0.105702,0.379928,0.496378,1.549301,1.145150
inla_graph_net1628760,1628760,27976844,INLA,0.387177,0.233674,0.976799,3.696230,3.518446,0.819196
inla_graph_net814381,81438,297626,INLA,0.003858,0.006411,0.032010,0.013233,0.031371,1.206330
inla_graph_pedigree,92699,463267,INLA,0.002932,0.007062,0.079365,0.005568,0.040851,
inla_graph_sem_n100000,600006,4800006,INLA,0.014368,0.074694,0.276106,0.162355,0.352709,0.400441
inla_graph_sem_n2000,12006,96006,INLA,0.000442,0.001467,0.007046,0.001509,0.005380,0.009510
inla_graph_sem_n20000,120006,960006,INLA,0.003253,0.013455,0.053864,0.020697,0.063034,0.079920
inla_graph_sem_n5000,30006,240006,INLA,0.000916,0.003295,0.015712,0.004130,0.014802,0.019899
inla_graph_sh7Pgi,15815,94975,INLA,0.003392,0.001882,0.008057,0.003795,0.009338,23.041000
inla_graph_spacetime,24931,1263615,INLA,0.047035,0.089543,0.134536,0.187648,0.142823,0.208042
inla_graph_stcov,24300,14752440,INLA,0.038860,0.114678,0.824227,1.030094,0.999744,1.387120
inla_graph_yU0G1u,1517823,16959629,INLA,0.297881,0.299537,0.643376,1.554866,310.613026,
1138_bus,1138,4054,SuiteSparse,0.000414,0.000163,0.000769,0.000107,0.000520,0.019625
af_0_k101,503625,17550675,SuiteSparse,0.285984,0.141337,0.464031,1.417325,1.207910,0.411636
af_shell3,504855,17588875,SuiteSparse,0.177127,0.156139,0.434098,1.369631,1.185740,0.409355
apache1,80800,542184,SuiteSparse,0.023659,0.023496,0.082372,0.273110,0.079476,0.126829
apache2,715176,4817870,SuiteSparse,0.648893,0.462050,0.792529,2.694548,0.937358,1.709130
audikw_1,943695,77651847,SuiteSparse,6.770412,12.403831,9.268469,14.742451,10.534691,47.298000
bcsstk08,1074,12960,SuiteSparse,0.001335,0.000361,0.001646,0.001959,0.001124,0.007637
bcsstk09,1083,18437,SuiteSparse,0.000878,0.000299,0.001843,0.001657,0.001198,0.005578
bcsstk10,1086,22070,SuiteSparse,0.000238,0.000170,0.001190,0.000652,0.001506,0.004284
bcsstk11,1473,34241,SuiteSparse,0.000731,0.000335,0.002033,0.001627,0.002495,0.005874
bcsstk13,2003,83883,SuiteSparse,0.004279,0.001549,0.006758,0.004878,0.006401,0.010433
bcsstk14,1806,63454,SuiteSparse,0.001468,0.000491,0.003426,0.002807,0.003837,0.005345
bcsstk15,3948,117816,SuiteSparse,0.003186,0.001514,0.011228,0.010376,0.007828,0.012884
bcsstk16,4884,290378,SuiteSparse,0.006122,0.001693,0.017164,0.012157,0.017971,0.011885
bcsstk17,10974,428650,SuiteSparse,0.003614,0.002517,0.014290,0.019654,0.026137,0.012663
bcsstk18,11948,149090,SuiteSparse,0.003270,0.002394,0.011563,0.020729,0.012349,0.020929
bmw3_2,227362,11288630,SuiteSparse,0.071184,0.072270,0.234310,0.684801,0.732259,0.319580
bmw7st_1,141347,7339667,SuiteSparse,0.034263,0.033674,0.125005,0.393739,0.460422,0.175067
bone010,986703,71666325,SuiteSparse,5.698265,7.931993,6.935439,11.849386,9.564679,21.801600
boneS01,127224,6715152,SuiteSparse,0.087223,0.086238,0.227272,0.532651,0.546082,0.551505
boneS10,914898,55468422,SuiteSparse,0.744736,0.623247,1.282783,3.689618,3.922092,1.128470
bundle1,10581,770901,SuiteSparse,0.003581,0.002847,0.028538,0.023496,0.058915,0.050937
consph,83334,6010480,SuiteSparse,0.228903,0.206302,0.499395,0.759529,0.718618,1.813690
crankseg_1,52804,10614210,SuiteSparse,0.068903,0.056609,0.241627,0.394599,0.695167,0.157996
crankseg_2,63838,14148858,SuiteSparse,0.096754,0.078598,0.290440,0.524384,0.921482,0.230249
ct20stif,52329,2698463,SuiteSparse,0.019236,0.021688,0.071913,0.152376,0.190918,0.069267
ecology2,999999,4995991,SuiteSparse,0.109307,0.135824,0.320855,1.530613,0.484571,0.359276
Emilia_923,923136,41005206,SuiteSparse,13.263031,24.762666,15.748502,19.872008,19.794827,115.145000
Fault_639,638802,28614564,SuiteSparse,7.883801,17.097906,10.139237,12.428792,10.855522,110.491000
G2_circuit,150102,726674,SuiteSparse,0.030302,0.018400,0.062940,0.275597,0.080175,0.097982
gyro_k,17361,1021159,SuiteSparse,0.002486,0.002324,0.025440,0.030883,0.057283,0.014299
gyro_m,17361,340431,SuiteSparse,0.001846,0.001278,0.014099,0.014630,0.022974,0.154182
hood,220542,10768436,SuiteSparse,0.045533,0.032590,0.171550,0.489988,0.681925,0.098876
inline_1,503712,36816342,SuiteSparse,0.246044,0.338570,0.828717,2.308762,2.539135,0.481164
ldoor,952203,46522475,SuiteSparse,0.283032,0.221573,0.733749,2.430904,3.082363,1.089660
m_t1,97578,9753570,SuiteSparse,0.052937,0.047897,0.198331,0.421105,0.592184,0.150485
msc10848,10848,1229778,SuiteSparse,0.003256,0.003945,0.023013,0.032889,0.071223,0.017455
msc23052,23052,1154814,SuiteSparse,0.004073,0.005049,0.031580,0.051009,0.071567,0.020603
nasa2910,2910,174296,SuiteSparse,0.001577,0.000847,0.005648,0.004719,0.010281,0.007563
nasa4704,4704,104756,SuiteSparse,0.002374,0.001200,0.005470,0.006922,0.008248,0.009744
nasasrb,54870,2677324,SuiteSparse,0.012546,0.013488,0.061985,0.171700,0.162586,0.037458
nd12k,36000,14220946,SuiteSparse,0.888260,1.522564,1.223123,1.476244,1.833409,9.272350
nd3k,9000,3279690,SuiteSparse,0.124346,0.079136,0.179010,0.165258,0.281230,0.374901
nd6k,18000,6897316,SuiteSparse,0.344779,0.294342,0.471932,0.485515,0.678900,2.857460
offshore,259789,4242673,SuiteSparse,0.723896,0.276703,0.443576,1.137379,0.529320,0.652658
oilpan,73752,3597188,SuiteSparse,0.013931,0.013016,0.064597,0.160150,0.218565,0.050200
parabolic_fem,525825,3674625,SuiteSparse,0.080342,0.059157,0.211793,0.907942,0.391561,0.106802
pwtk,217918,11634424,SuiteSparse,0.064621,0.053228,0.262975,0.671624,0.673057,0.139101
s3dkq4m2,90449,4820891,SuiteSparse,0.021543,0.021259,0.114053,0.246808,0.290650,0.101444
s3dkt3m2,90449,3753461,SuiteSparse,0.021318,0.020826,0.108099,0.231250,0.248415,0.103372
ship_001,34920,4644230,SuiteSparse,0.091816,0.022824,0.107336,0.182786,0.274570,0.070646
ship_003,121728,8086034,SuiteSparse,0.213636,0.145128,0.362649,0.662596,0.615700,0.809295
shipsec1,140874,7813404,SuiteSparse,0.104012,0.074761,0.212490,0.493751,0.564910,1.248550
shipsec5,179860,10113096,SuiteSparse,0.167003,0.114409,0.309704,0.758952,0.713901,0.488482
shipsec8,114919,6653399,SuiteSparse,0.091925,0.078799,0.205768,0.436870,0.496298,0.551107
smt,25710,3753184,SuiteSparse,0.019938,0.022455,0.098839,0.140417,0.252806,0.094974
thermal1,82654,574458,SuiteSparse,0.005234,0.006922,0.036402,0.111468,0.043085,0.021141
thermomech_dM,204316,1423116,SuiteSparse,0.015513,0.016965,0.092216,0.286696,0.125313,0.028577
thermomech_TC,102158,711558,SuiteSparse,0.011046,0.009106,0.056384,0.140675,0.060868,0.021158
thermomech_TK,102158,711558,SuiteSparse,0.010861,0.008811,0.057561,0.140281,0.060171,0.020911
thread,29736,4470048,SuiteSparse,0.072874,0.058921,0.207923,0.272118,0.380976,0.425449
tmt_sym,726713,5080961,SuiteSparse,0.088384,0.093532,0.256750,1.196558,0.452514,0.176477
